"URL","Title","Item_Type","Color","Material","Release_Date","Date_Added","Wanted","Owned","Notes","Bin#","Purchase_Link","Image_URL","Last_Scraped"
"https://www.roughridersregistry.com/rough-riders-collections-items/flanilla-ice-borlandflex-long-sleeve-flannel/","Flanilla Ice BorlandFlex Long Sleeve Flannel","Flannels","White","","10/07/25","","wanted-no","owned-no","##flannel  ##2025","","https://www.rsvlts.com/collections/new-arrivals/products/flanilla-ice-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2025/10/rsvlts-flannel-long-sleeve-xs-flanilla-ice-borlandflex-long-sleeve-flannel-flanilla-ice-borlandflex-long-sleeve-flannel-1196295427-600x600.jpg","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/star-wars-battle-of-hoth-borlandflex-flannel/","Star Wars Battle of Hoth BorlandFlex flannel","Flannels","Blue","Polyblends/Rayon","12/17/24","2026-04-09 21:09:26","wanted-no","owned-yes","##wars  ##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/star-wars-battle-of-hoth-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/12/rsvlts-xs-star-wars-battle-of-hoth-borlandflex-long-sleeve-flannel-star-wars-battle-of-hoth-borlandflex-long-sleeve-flannel-38889270083742-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/flanis-joplin-borlandflex-long-sleeve-flannel/","Flanis Joplin BorlandFlex Long Sleeve Flannel","Flannels","Blue","","10/07/25","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel  ##2025","","https://www.rsvlts.com/collections/new-arrivals/products/flanis-joplin-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2025/10/rsvlts-flannel-long-sleeve-xs-flanis-joplin-borlandflex-long-sleeve-flannel-flanis-joplin-borlandflex-long-sleeve-flannel-1196295437-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/dwayne-the-plaid-johnson-borlandflex-long-sleeve-flannel/","Dwayne 'The Plaid' Johnson BorlandFlex Long Sleeve Flannel","Flannels","Black","","10/07/25","","wanted-no","owned-no","##flannel  ##2025","","https://www.rsvlts.com/collections/new-arrivals/products/dwayne-the-plaid-johnson-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2025/10/rsvlts-flannel-long-sleeve-xs-dwayne-the-plaid-johnson-borlandflex-long-sleeve-flannel-dwayne-the-plaid-johnson-borlandflex-long-sleeve-flannel-1196295407-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/paging-mr-morrow-oh-my-flanta-borlandflex-long-sleeve-flannel/","Paging Mr Morrow Oh My Flanta! BorlandFlex long sleeve flannel","Flannels","Red","Polyblends/Rayon","12/26/24","","wanted-no","owned-no","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/paging-mr-morrow-oh-my-flanta-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/12/rsvlts-xs-paging-mr-morrow-borlandflex-flannel-paging-mr-morrow-borlandflex-flannel-38930743754910-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/plaid-kroeger-borlandflex-long-sleeve-flannel/","Plaid Kroeger BorlandFlex Long Sleeve Flannel","Flannels","Brown","","10/07/25","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel  ##2025","","https://www.rsvlts.com/collections/new-arrivals/products/plaid-kroeger-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2025/10/rsvlts-flannel-long-sleeve-xs-plaid-kroeger-borlandflex-long-sleeve-flannel-plaid-kroeger-borlandflex-long-sleeve-flannel-1196295417-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/solid-color-borlandflex-long-sleeve-flannels/","Solid color BorlandFlex long sleeve flannels","Flannels","","Polyblends/Rayon","12/10/24","2026-04-09 21:09:26","wanted-no","owned-yes","I own thats bone and dark emerald and burgundy and navy ##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/burgundy-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/12/rsvlts-xs-rsvlts-flannels-solids-navy-flannel-rsvlts-flannels-solids-navy-flannel-38843792490654-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/neil-plaidrick-harris-borlandflex-long-sleeve-flannel/","Neil Plaidrick Harris BorlandFlex Long Sleeve Flannel","Flannels","Green","","10/07/25","","wanted-no","owned-no","##flannel  ##2025","","https://www.rsvlts.com/collections/new-arrivals/products/neil-plaidrick-harris-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2025/10/rsvlts-flannel-long-sleeve-xs-neil-plaidrick-harris-borlandflex-long-sleeve-flannel-neil-plaidrick-harris-borlandflex-long-sleeve-flannel-1196295422-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/jackie-flan-borlandflex-long-sleeve-flannel/","Jackie Flan BorlandFlex Long Sleeve Flannel","Flannels","Black","","10/07/25","","wanted-no","owned-no","##jackie  ##flannel  ##2025","","https://www.rsvlts.com/collections/new-arrivals/products/jackie-flan-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2025/10/rsvlts-flannel-long-sleeve-xs-jackie-flan-borlandflex-long-sleeve-flannel-jackie-flan-borlandflex-long-sleeve-flannel-1196295432-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/john-flandy-borlandflex-long-sleeve-flannel/","John Flandy BorlandFlex Long Sleeve Flannel","Flannels","Yellow","","10/07/25","","wanted-no","owned-no","##flannel  ##2025","","https://www.rsvlts.com/collections/new-arrivals/products/john-flandy-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2025/10/rsvlts-flannel-long-sleeve-xs-john-flandy-borlandflex-long-sleeve-flannel-john-flandy-borlandflex-long-sleeve-flannel-1196295412-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/the-nightmare-before-christmas-lock-shock-and-barrel-borlandflex-flannel/","The Nightmare Before Christmas Lock Shock and Barrel BorlandFlex flannel","Flannels","Blue","Polyblends/Rayon","12/05/24","2026-04-09 21:09:26","wanted-no","owned-yes","##nightmare  ##christmas  ##flannel","b#^0","https://www.rsvlts.com/collections/new-arrivals/products/nightmare-before-christmas-lock-shock-barrel-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/12/rsvlts-xs-nightmare-before-christmas-5-black-beauty-borlandflex-flannel-nightmare-before-christmas-5-black-beauty-borlandflex-flannel-38843733049502-600x600.jpg","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/plaid-pitt-borlandflex-flannel/","Plaid Pitt BorlandFlex flannel","Flannels","Red","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/plaid-pitt-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-plaid-pitt-borlandflex-long-sleeve-flannel-plaid-pitt-borlandflex-long-sleeve-flannel-38604478513310-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/sir-plaidrick-stewart-borlandflex-flannel/","Sir Plaidrick Stewart BorlandFlex flannel","Flannels","Blue","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/sir-plaidrick-stewart-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-sir-plaidrick-stewart-borlandflex-long-sleeve-flannel-sir-plaidrick-stewart-borlandflex-long-sleeve-flannel-38604488114334-600x600.jpeg","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/flaniel-craig-borlandflex-flannel/","Flaniel Craig BorlandFlex flannel","Flannels","Gray","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/flaniel-craig-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-flaniel-craig-borlandflex-long-sleeve-flannel-flaniel-craig-borlandflex-long-sleeve-flannel-38604437848222-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/ned-flanders-borlandflex-flannel/","Ned Flanders BorlandFlex flannel","Flannels","Blue","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/ned-flanders-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-ned-flanders-borlandflex-long-sleeve-flannel-ned-flanders-borlandflex-long-sleeve-flannel-38604469305502-600x600.jpeg","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/james-flan-der-beek-borlandflex-flannel/","James Flan Der Beek BorlandFlex flannel","Flannels","Blue","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##jam  ##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/james-flan-der-beek-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-james-flan-der-beek-borlandflex-long-sleeve-flannel-james-flan-der-beek-borlandflex-long-sleeve-flannel-38604458229918-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/flandy-warhol-borlandflex-flannel/","Flandy Warhol BorlandFlex flannel","Flannels","White","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/flandy-warhol-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-flandy-warhol-borlandflex-long-sleeve-flannel-flandy-warhol-borlandflex-long-sleeve-flannel-38604407701662-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/flanley-tucci-borlandflex-flannel/","Flanley Tucci BorlandFlex flannel","Flannels","White","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/flanley-tucci-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-flanley-tucci-borlandflex-long-sleeve-flannel-flanley-tucci-borlandflex-long-sleeve-flannel-38604451905694-600x600.webp","2026-04-16 20:02:46"
"https://www.roughridersregistry.com/rough-riders-collections-items/hercules-lord-of-the-dead-borlandflex-flannel/","Hercules Lord of the Dead BorlandFlex flannel","Flannels","Gray","Polyblends/Rayon","10/31/24","2026-04-09 21:09:26","wanted-no","owned-yes","##disney  ##villains  ##herc  ##flannel  nwt","b#^5","https://www.rsvlts.com/collections/new-arrivals/products/disney-villains-lord-of-the-dead-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/11/disney-flannel-long-sleeve-disney-villains-lord-of-the-dead-borlandflex-long-sleeve-flannel-disney-villains-lord-of-the-dead-borlandflex-long-sleeve-flannel-38636220088478-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/flanthony-hopkins-borlandflex-flannel/","Flanthony Hopkins BorlandFlex flannel","Flannels","Red","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/flanthony-hopkins-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-flanthony-hopkins-borlandflex-long-sleeve-flannel-flanthony-hopkins-borlandflex-long-sleeve-flannel-38604452987038-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/flangela-flansbury-borlandflex-flannel/","Flangela Flansbury BorlandFlex flannel","Flannels","Gray","","10/24/24","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/flangela-flansbury-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2024/10/rsvlts-flannel-long-sleeve-xs-flangela-flansbury-borlandflex-long-sleeve-flannel-flangela-flansbury-borlandflex-long-sleeve-flannel-38604427165854-600x600.webp","2026-04-26 20:16:52"
"https://www.roughridersregistry.com/rough-riders-collections-items/star-wars-dagobah-flannel-master-borlandflex-flannel/","Star Wars Dagobah Flannel Master BorlandFlex Flannel","Flannels","Green","Polyblends/Rayon","12/12/23","2026-04-09 21:09:26","wanted-no","owned-yes","##wars  XL  ##flannel","","https://www.rsvlts.com/collections/star-wars/products/star-wars-dagobah-flannel-master-yoda-borlandflex-flannel","https://www.roughridersregistry.com/wp-content/uploads/2023/12/star-wars-xs-star-wars-dagobah-flannel-master-borlandflex-flannel-36551938670750-600x600.webp","2026-04-16 20:02:46"
"https://www.roughridersregistry.com/rough-riders-collections-items/star-wars-in-a-flannel-far-far-away-borlandflex-flannel-skywalker-ranch-edition/","Star Wars In A Flannel Far Far Away BorlandFlex Flannel - Skywalker Ranch edition","Flannels","Black","Polyblends/Rayon","01/01/24","","wanted-no","owned-no","##wars  ##flannel","","https://rsvlts.com/","https://www.roughridersregistry.com/wp-content/uploads/2024/08/IMG_9100-600x600.jpg","2026-04-16 20:02:46"
"https://www.roughridersregistry.com/rough-riders-collections-items/star-wars-return-of-the-plaid-borlandflex-flannel/","Star Wars Return of the Plaid BorlandFlex Flannel","Flannels","Gray","Polyblends/Rayon","12/12/23","2026-04-09 21:09:26","wanted-no","owned-yes","##wars  XL ##flannel","","https://www.rsvlts.com/collections/star-wars/products/star-wars-return-of-the-plaid-luke-skywalker-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2023/12/star-wars-xs-star-wars-return-of-the-plaid-borlandflex-flannel-36552165359774-600x600.jpeg","2026-04-16 20:02:46"
"https://www.roughridersregistry.com/rough-riders-collections-items/star-wars-in-a-flannel-far-far-away-borlandflex-flannel/","Star Wars In A Flannel Far Far Away BorlandFlex Flannel","Flannels","Black","Polyblends/Rayon","12/12/23","2026-04-09 21:09:26","wanted-no","owned-yes","##wars  XL  ##flannel","","https://www.rsvlts.com/collections/star-wars/products/star-wars-in-a-flannel-far-far-away-borlandflex-flannel","https://www.roughridersregistry.com/wp-content/uploads/2023/12/star-wars-xs-star-wars-in-a-flannel-far-far-away-borlandflex-flannel-36551939653790-600x600.webp","2026-04-16 20:02:46"
"https://www.roughridersregistry.com/rough-riders-collections-items/jean-plaid-flan-damme-borlandflex-flannel/","Jean-Plaid Flan Damme BorlandFlex flannel","Flannels","Green","Polyblends/Rayon","10/17/23","2026-04-09 21:09:26","wanted-no","owned-yes","##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/sinplaid-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2023/10/rsvlts-xs-jean-plaid-flan-damme-borlandflex-long-sleeve-flannel-36298522493086-600x600.webp","2026-04-16 20:02:46"
"https://www.roughridersregistry.com/rough-riders-collections-items/yellowstone-we-dont-choose-the-way-borlandflex-long-sleeve-flannel/","Yellowstone We Don't Choose The Way BorlandFlex long sleeve flannel","Flannels","Purple","Polyblends/Rayon","11/02/23","2026-04-09 21:09:26","wanted-no","owned-yes","##yellow  ##flannel","","https://www.rsvlts.com/collections/new-arrivals/products/yellowstone-we-dont-choose-the-way-borlandflex-long-sleeve-flannel","https://www.roughridersregistry.com/wp-content/uploads/2023/12/yellowstone-xs-yellowstone-we-don-t-choose-the-way-borlandflex-long-sleeve-flannel-36378684489886-600x600.webp","2026-04-16 20:02:46"
